"","ALDERMAN","LOBBYIST_NAME","cont_to_aldermen","CLIENT_NAME","total_comp","pathString"
"1","ARENA","DONNA PUGH",250,"ALDI INC, AN ILLINOIS CORPORATION",24981,"ARENA/DONNA PUGH/ALDI INC, AN ILLINOIS CORPORATION"
"2","ARENA","DONNA PUGH",250,"BLACKHAWK COMMUNITY ICE RINK LLC",53775,"ARENA/DONNA PUGH/BLACKHAWK COMMUNITY ICE RINK LLC"
"3","ARENA","DONNA PUGH",250,"GATEWAY NEWSTANDS",34100,"ARENA/DONNA PUGH/GATEWAY NEWSTANDS"
"4","ARENA","DONNA PUGH",250,"JAPANESE AMERICAN SERVICE COMMITTEE",7400,"ARENA/DONNA PUGH/JAPANESE AMERICAN SERVICE COMMITTEE"
"5","ARENA","DONNA PUGH",250,"MACERICH COMPANY",89338,"ARENA/DONNA PUGH/MACERICH COMPANY"
"6","ARENA","DONNA PUGH",250,"MONTPARNASSE 56 CHICAGO LLC",74337,"ARENA/DONNA PUGH/MONTPARNASSE 56 CHICAGO LLC"
"7","ARENA","DONNA PUGH",250,"MORGAN STANLEY & CO LLC",36800,"ARENA/DONNA PUGH/MORGAN STANLEY & CO LLC"
"8","ARENA","DONNA PUGH",250,"NORTHERN TRUST CORPORATION",22000,"ARENA/DONNA PUGH/NORTHERN TRUST CORPORATION"
"9","ARENA","DONNA PUGH",250,"PRESENCE HEALTH SYSTEM",117444,"ARENA/DONNA PUGH/PRESENCE HEALTH SYSTEM"
"10","ARENA","DONNA PUGH",250,"THE FEIL ORGANIZATION",4500,"ARENA/DONNA PUGH/THE FEIL ORGANIZATION"
"11","ARENA","DONNA PUGH",250,"TRI CITY FOODS INC",144687,"ARENA/DONNA PUGH/TRI CITY FOODS INC"
"12","ARENA","DONNA PUGH",250,"WENDY'S COMPANY",1800,"ARENA/DONNA PUGH/WENDY'S COMPANY"
"13","ARENA","DONNA PUGH",250,"WENDY'S OLD FASHIONED HAMBURGERS",675,"ARENA/DONNA PUGH/WENDY'S OLD FASHIONED HAMBURGERS"
"14","ARENA","JOHN BOROVICKA",200,"BLUEBIRD NETWORK LLC",29999.99,"ARENA/JOHN BOROVICKA/BLUEBIRD NETWORK LLC"
"15","ARENA","JOHN BOROVICKA",200,"CAMELOT EDUCATION",28750,"ARENA/JOHN BOROVICKA/CAMELOT EDUCATION"
"16","ARENA","JOHN BOROVICKA",200,"CONDUENT INC AND ITS AFFILIATES",28333.32,"ARENA/JOHN BOROVICKA/CONDUENT INC AND ITS AFFILIATES"
"17","ARENA","JOHN BOROVICKA",200,"ELECTRONIC KNOWLEDGE INTERCHANGE",26666.64,"ARENA/JOHN BOROVICKA/ELECTRONIC KNOWLEDGE INTERCHANGE"
"18","ARENA","JOHN BOROVICKA",200,"EXPEDIA INC",27222.21,"ARENA/JOHN BOROVICKA/EXPEDIA INC"
"19","ARENA","JOHN BOROVICKA",200,"EXTENET SYSTEMS INC",37500,"ARENA/JOHN BOROVICKA/EXTENET SYSTEMS INC"
"20","ARENA","JOHN BOROVICKA",200,"FCO ADVISORS LP",47086.3,"ARENA/JOHN BOROVICKA/FCO ADVISORS LP"
"21","ARENA","JOHN BOROVICKA",200,"FIFTH THIRD BANK",22016.13,"ARENA/JOHN BOROVICKA/FIFTH THIRD BANK"
"22","ARENA","JOHN BOROVICKA",200,"FLEET PORTFOLIO VENTURE LLC",8333.32,"ARENA/JOHN BOROVICKA/FLEET PORTFOLIO VENTURE LLC"
"23","ARENA","JOHN BOROVICKA",200,"MCGRAW HILL GLOBAL EDUCATION HOLDING LLC AND ITS AFFILIATES",44333.31,"ARENA/JOHN BOROVICKA/MCGRAW HILL GLOBAL EDUCATION HOLDING LLC AND ITS AFFILIATES"
"24","ARENA","JOHN BOROVICKA",200,"MILLENNIUM PARK GARAGES LLC",67500,"ARENA/JOHN BOROVICKA/MILLENNIUM PARK GARAGES LLC"
"25","ARENA","JOHN BOROVICKA",200,"NORTHWESTERN UNIVERSITY",73500,"ARENA/JOHN BOROVICKA/NORTHWESTERN UNIVERSITY"
"26","ARENA","JOHN BOROVICKA",200,"SCIENTIFIC GAMES INTERNATIONAL INC",39999.98,"ARENA/JOHN BOROVICKA/SCIENTIFIC GAMES INTERNATIONAL INC"
"27","ARENA","JOHN BOROVICKA",200,"ZAGSTER INC",5000,"ARENA/JOHN BOROVICKA/ZAGSTER INC"
"28","ARENA","MICHAEL EZGUR",500,"1200 WEST FULTON MARKET LLC",40000,"ARENA/MICHAEL EZGUR/1200 WEST FULTON MARKET LLC"
"29","ARENA","MICHAEL EZGUR",500,"730 RANDOPH LLC",20000,"ARENA/MICHAEL EZGUR/730 RANDOPH LLC"
"30","ARENA","MICHAEL EZGUR",500,"808 NORTH WELLS STREET DEVCO LLC",45000,"ARENA/MICHAEL EZGUR/808 NORTH WELLS STREET DEVCO LLC"
"31","ARENA","MICHAEL EZGUR",500,"AMLI RESIDENTIAL",25000,"ARENA/MICHAEL EZGUR/AMLI RESIDENTIAL"
