CLIENT INDUSTRY,CLIENT OTHER INDUSTRY,CLIENT NAME
ARTS/ ENTERTAINMENT,,"Big Chicago, Inc."
ARTS/ ENTERTAINMENT,,Black Ensemble Theater
ARTS/ ENTERTAINMENT,,Blackhawk Community Ice Rink LLC
ARTS/ ENTERTAINMENT,,Cards Against Humanity
ARTS/ ENTERTAINMENT,,"Chez, LLC"
ARTS/ ENTERTAINMENT,,Chicago Automobile Trade Association
ARTS/ ENTERTAINMENT,,"Chicago Cubs Baseball Club, LLC"
ARTS/ ENTERTAINMENT,,"Chicago Film Studio, LLC"
ARTS/ ENTERTAINMENT,,Chicago Horticultural Society
ARTS/ ENTERTAINMENT,,Chicago International Film Festival
ARTS/ ENTERTAINMENT,,Chicago Near North Soccer LLC
ARTS/ ENTERTAINMENT,,Chicago Professional Sports Limited Partnership (Chicago Bulls)
ARTS/ ENTERTAINMENT,,Chicago Self Storage
ARTS/ ENTERTAINMENT,,"Clear Channel Outdoor, Inc.,d/b/a Clear Channel Airports"
ARTS/ ENTERTAINMENT,,Congress Corporation
ARTS/ ENTERTAINMENT,,Elastic Art Foundation
ARTS/ ENTERTAINMENT,,Factory
ARTS/ ENTERTAINMENT,,Gold Coast Tickets
ARTS/ ENTERTAINMENT,,Halcyon Theatre
ARTS/ ENTERTAINMENT,,JAM Productions
ARTS/ ENTERTAINMENT,,"Jarla, LLC"
ARTS/ ENTERTAINMENT,,John Henderson
ARTS/ ENTERTAINMENT,,"Live Nation Worldwide, Inc. (FKA Clear Channel Entertainment)"
ARTS/ ENTERTAINMENT,,Lobbyist Test
ARTS/ ENTERTAINMENT,,Lucas Museum of Narrative Art
ARTS/ ENTERTAINMENT,,Motion Picture Association of America
ARTS/ ENTERTAINMENT,,Museum of Contemporary Art
ARTS/ ENTERTAINMENT,,Museum of Science and Industry
ARTS/ ENTERTAINMENT,,Music and Dance Theater Chicago
ARTS/ ENTERTAINMENT,,"Music & Dance Theater Chicago, Inc."
ARTS/ ENTERTAINMENT,,National Hellenic Museum
ARTS/ ENTERTAINMENT,,National Museum of Mexican Art
ARTS/ ENTERTAINMENT,,"North Clark Street, LLC"
ARTS/ ENTERTAINMENT,,"North Coast Music Group, Inc"
ARTS/ ENTERTAINMENT,,Old Town Merchants & Residents Association
ARTS/ ENTERTAINMENT,,One Stop Loans
ARTS/ ENTERTAINMENT,,"Pinstripes, Inc"
ARTS/ ENTERTAINMENT,,Pooh-Bah Enterprises Inc
ARTS/ ENTERTAINMENT,,Pooh-Bah Enterprises Inc.
ARTS/ ENTERTAINMENT,,"POOH-BAH ENTERPRISES, INC. D/B/A VIP'S A GENTLEMENS CLUB"
ARTS/ ENTERTAINMENT,,Pooh Bah Entertainment
ARTS/ ENTERTAINMENT,,Puerto Rican Arts Alliance
ARTS/ ENTERTAINMENT,,"React Presents, Inc"
ARTS/ ENTERTAINMENT,,Riot Fest Corporation
ARTS/ ENTERTAINMENT,,"Spring Awakening, LLC"
ARTS/ ENTERTAINMENT,,The Mid
ARTS/ ENTERTAINMENT,,Tower Productions LLC
ARTS/ ENTERTAINMENT,,"Triangle Property Holdings, LLC"
ARTS/ ENTERTAINMENT,,Tribune Company
ARTS/ ENTERTAINMENT,,UTA II LLC
ARTS/ ENTERTAINMENT,,"UTA II, LLC"
ARTS/ ENTERTAINMENT,,WhirlyBall
ARTS/ ENTERTAINMENT,,"Wrigley Field Holdings, LLC"
ARTS/ ENTERTAINMENT,,"Wrigley Field Parking Operations, LLC"
ARTS/ ENTERTAINMENT,,Wrigley Rooftop Management Corp
ARTS/ ENTERTAINMENT,,Wrigley Rooftop Owners Association
ARTS/ ENTERTAINMENT,,Wrigley Rooftops
DISTRIBUTION & LEASING,,Aeroterm
DISTRIBUTION & LEASING,,Ahold USA Inc & Subsidiaries
DISTRIBUTION & LEASING,,Bradford Airport Logistics
