Year,EMPLOYER_ID,NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTRY,PHONE,FAX,CREATED_DATE,ACTIVE
2011,4818,Lighten-Gale LLC,"39 S. LaSalle St., Ste. 808",,Chicago,Il,60603,United States,312-920-1500,,,Y
2012,4099,Nicolay & Dart LLC,33 N. Dearborn St. Ste.2200,,Chicago,IL,60602,United States,312-701-0221,312-658-0464,,Y
2011,4099,Nicolay & Dart LLC,33 N. Dearborn St. Ste.2200,,Chicago,IL,60602,United States,312-701-0221,312-658-0464,,Y
2013,7141,Carol Ronen,6033 N. Sheridan Rd,,Chicago,IL,60660,United States,773-919-4240,,01/09/2013,Y
2011,4687,Thompson Coburn LLP,55 E Monroe - 40th Floor,,Chicago,IL,60603,United States,312-580-2228,312-580-2201,,Y
2011,4186,"Foley & Lardner, LLP",321 N Clark St. #2800,,Chicago,IL,60610,United States,312-832-4500,312-832-4700,,Y
2012,4202,K & L  Gates LLP,,,,,,United States,,,,Y
2011,4202,K & L  Gates LLP,,,,,,United States,,,,Y
2012,4368,DLA Piper US LLP,203 N. LaSalle St. Suite 1900,,Chicago,IL,60601,United States,312-368-4000,312-236-7516,,Y
,6642,Carpenter Lipps & Leland LLP,180 N. LaSalle Street,Suite 2640,Chicago,IL,60601,United States,3127772824,,11/15/2012,Y
2013,6984,"Capitol Consulting Group Illinois, LLC",350 W. 22nd St.  #106,,Lombard,IL,60148,United States,630-916-7400,630-916-7900,01/07/2013,Y
2013,7144,Markoff Law LLC,"29 N. Wacker Drive, Suite 550",,Chicago,IL,60606,United States,312-698-7300,,01/10/2013,Y
2015,7402,"Barclays Capital, Inc.",745 Seventh Avenue,,New York,NY,10019,United States,212-526-7000,,01/16/2013,Y
2013,7527,Jasculca Terman and Associates,"730 N. Franklin, Ste. 510",,Chicago,IL,60654,United States,312-337-7400,312-337-8189,01/18/2013,Y
2014,7586,McGuireWoods Consulting,"77 W Wacker, Suite 4100",,Chicago,IL,60601,United States,312.750.6014,,01/23/2013,Y
2014,7681,Novartis Vaccines and Diagnostics,350 Massachusetts Avenue,,Cambridge,MA,02139,United States,(415) 389-6800,(415) 388-6874,01/28/2013,Y
2015,7721,Incapital LLC,200 S. Wacker Dr.,Ste 3700,Chicago,IL,60606,United States,312-379-3700,312-379-3701,01/29/2013,Y
2014,4676,"Anderson & Moore, P.C.","111 W. Washington, Ste 1100",,Chicago,IL,60602,United States,312-251-1500,312-251-1509,,Y
2012,5501,"Sensys Networks, Inc.",1608 4th Street Suite 200,,Berkeley,CA,94710,United States,510-548-4620,510-549-9931,07/10/2012,Y
2012,6462,Siemens Corporation,"300 New Jersey Ave., NW",Ste. 1000,Washington,DC,20001,United States,202-434-4805,,10/22/2012,Y
2012,5021,Donald Robinson,1530 N Dearborn Parkway,Ste. 3N,Chicago,IL,60610,United States,312-751-9858,,05/10/2012,Y
2013,5065,Jones Lang LaSalle,200 E Randolph,47th Flr,Chicago,IL,60601,United States,312-228-2576,,05/25/2012,Y
2013,5101,Vi Daley,1807 N Orleasns,,Chicago,IL,60614,United States,312-719-0207,,06/05/2012,Y
,5841,Bing  tie,986 s park terrace,,Chicago,IL,60605,United States,3122179337,,08/28/2012,Y
2014,6781,Loop Capital Markets LLC,111 West Jackson Boulevard,Suite 1901,Chicago,IL,60604,United States,312-913-4900,312-922-7137,12/20/2012,Y
2015,6801,george K. baum & company,1 N. La Salle St,suite 1725,chicago,IL,60622,United States,312-641-3611,312-641-3625,12/27/2012,Y
2013,6861,MacRostie Historic Advisors LLC,1400 16th St. NW,Ste 420,Washington,DC,20036,United States,202-483-2020,202-483-2080,01/02/2013,Y
2015,6881,george K. baum & company,1 N. La Salle St,suite 1725,chicago,IL,60602,United States,312-641-3611,312-641-3625,01/02/2013,Y
2014,6881,george K. baum & company,1 N. La Salle St,suite 1725,chicago,IL,60602,United States,312-641-3611,312-641-3625,01/02/2013,Y
2014,7163,Lakeview Strategy Group,3712 N. Broadway,Suite 410,Chicago,IL,60613,United States,312.462.4044,,01/10/2013,Y
2013,7201,"Periculum Consulting, LLC",161 North Clark Street,Suite 4700,Chicago,IL,60601,United States,312.292.5390,,01/11/2013,Y
2012,4961,Sensus North America,8601 Six Forks Rd,,Raleigh,NC,27615,United States,919-845-4000,,05/01/2012,Y
2012,4981,Metron-Farnier,5665 Airport Blvd,,Boulder,CO,80301,United States,720-641-5254,303-449-1464,05/02/2012,Y
2012,5082,Wrigley Rooftop Management Corp,908 W Madison,,Chicago,IL,60603,United States,312-334-3015,312-644-1426,05/29/2012,Y
2012,5341,Timothy Bramlet,119 W Lawrence,,Springfield,IL,62704,United States,217-522-9522,212-789-2690,06/26/2012,Y
2015,5505,ComEd,440 S. LaSalle Street,Suite 3300,Chicago,IL,60605,United States,312-394-5915,312-394-3759,07/13/2012,Y
2012,5621,"AMI Group, LLC",205 N Michigan Ave,Ste. 1910,Chicago,IL,60601,United States,312-262-6870,312-376-3470,08/02/2012,Y
2014,5681,Donovan Group LLC,111 East Wacker Drive,Ste. 990,Chicago,IL,60601,United States,312-467-0381,312-467-0340,08/09/2012,Y
2012,5881,CSC Firm,1601 Westchester Blvd,Ste. 3,Springfield,IL,62704,United States,312-857-5521,312-265-1846,08/30/2012,Y
2015,6121,"Gene Schulter Group, Inc",4326 N Bell Ave,,Chicago,IL,60618,United States,773-539-1683,,09/25/2012,Y
2013,7381,Siemens Industry Inc.,585 Slawin Court,,Mount Prospect,IL,60056,United States,312-520-0010,,01/16/2013,Y
2013,5042,Cornerstone Government Affairs,111 W Washington,Ste. 1100,Chicago,IL,60602,United States,312-281-0994,312-281-0997,05/16/2012,Y
2012,5541,Sears Holding Corp.,3333 Beverly Rd,,Hoffman Estates,IL,60179,United States,847-286-2400,,07/24/2012,Y
2013,5801,"Citibank, N.A.",388 Greenwich St.,22nd Floor,New York,NY,10013,United States,(212) 816-3656,,08/24/2012,Y
2012,5801,"Citibank, N.A.",388 Greenwich St.,22nd Floor,New York,NY,10013,United States,(212) 816-3656,,08/24/2012,Y
2013,7061,K.O. Strategies,70 W Madison Street,Ste 1400,Chicago,IL,60602,United States,773-388-8425,773-388-8427,01/08/2013,Y
2013,7162,KPMG LLP,200 E. Randolph Dr,"KPMG LLP, Aon Center",Chicago,IL,60601,United States,312-665-1000,312-665-6000,01/10/2013,Y
2013,7181,Shefsky & Froelich Ltd.,"111 E. Wacker Drive, Suite 2800",,Chicago,IL,60601,United States,312-527-4000,312-527-4011,01/10/2013,Y
,7425,Milton Sees,3509 Benbrook Dr.,,Springfield,IL,62711,United States,217-801-1063,217-544-4026,01/16/2013,Y
2014,7550,"Silliman Group, LLC",32 N Dean Street,,Englewood,NJ,07631,United States,201-541-8003,,01/21/2013,Y
2013,7555,"Schuyler, Roche & Crisham, P.C.",130 East Randolph,Suite 3800,Chicago,IL,60601,United States,312 565 2400,312 565 8300,01/21/2013,Y
2013,5361,Google Inc.,1600 Amphitheatre Parkway,,Mountain View,CA,94043,United States,(415) 389-6800,(415) 388-6874,06/27/2012,Y
2012,5503,"Baltimore Tas, LLC",2200 S Michigan,,Chicago,IL,60616,United States,312-881-3176,,07/13/2012,Y
2013,5561,"Urban Risk Management and Consulting Services, Inc.",PO Box 167311,,Chicago,IL,60616,United States,9999999999,,07/25/2012,Y
2012,6101,Paul Williams,9009 South Western Ave,,Chicago,IL,60643,United States,773-298-5050,773-298-0079,09/24/2012,Y
2015,6946,Philips Lighting,10275 West Higgins Road,,Rosemont,IL,60018,United States,1 847 3905100,1 (847) 390 5058,01/04/2013,Y
2013,7545,"Goldman Sachs Asset Management, L.P.",200 West Street,,New York,NY,10282,United States,(212) 902-1000,,01/20/2013,Y
2015,8881,Jewel Osco,150 Pierce Rd,Ste 400,Itasca,IL,60143,United States,630-948-6257,630-948-6950,07/17/2013,Y
2013,9421,Digital Sandbox,8260 Greensboro Drive,,Herndon,VA,20171,United States,7036085191,,09/20/2013,Y
2014,10202,Unisys Corporation,1 East Wacker Drive,Suite 2350,Chicago,IL,60601,United States,312-644-3463,312-644-6493,01/15/2014,Y
2015,10280,"Rush Street Gaming, LLC","900 N. Michigan Ave., Suite 900",,Chicago,IL,60611,United States,(312) 915-1001,(312) 915-1037,01/17/2014,Y
2014,10482,"Schuyler, Roche & Crisham, P.C.",180 N Stetson,,Chicago,IL,60601,United States,312-565-8439,312 565 8300,01/30/2014,Y
2014,10821,Credit Suisse Asset Management LLC,One Madison Ave.,,New York,NY,10010,United States,212-325-7463,,03/19/2014,Y
2014,11721,PLS Financial Services Inc,1 South Wacker Dr.,36th Flr,Chicago,IL,60606,United States,312-300-6343,,10/20/2014,Y
2015,12050,"J.J.B. Hilliard, W.L. Lyons LLC",211 W Wacker Dr.,Ste. 1200,Chicago,IL,60606,United States,502-588-1829,502-588-8470,01/05/2015,Y
2014,12076,Sarah Sheehan,"500 N. Dearborn St., Ste. 1030",,Chicago,IL,60654,United States,312-755-9000,312-755-9022,01/15/2015,Y
2015,12092,The Perman Group,1904 West Newport Avenue,,Chicago,IL,60657,United States,773-405-6312,,01/19/2015,Y
2013,7822,"Temco Machinery, Inc.",1401 N. Farnsworth Avenue,,Aurora,IL,60505,United States,630-978-5151,,02/05/2013,Y
2014,7881,"Kevin A. Spiegel, Esq.",3101 W. Sherwin Ave.,,Chicago,IL,60645,United States,312-870-0829,,02/14/2013,Y
2015,8502,"Bank of America, NA",100 N Tryon Street,NC1-007-22-32,Charlotte,NC,28255,United States,980-386-3245,704-602-3712,05/14/2013,Y
2014,8562,Hubbard Inn LLC,110 W Hubbard,,Chicago,IL,60654,United States,312-222-1551,,06/07/2013,Y
2014,8642,"Burke, Warren, MacKay & Serritella, P.C.",330 North Wabash Avenue,21st Floor,Chicago,IL,60611,United States,(312) 840-7000,,06/14/2013,Y
2013,8781,William Griffin,Riordan Fulkerson Hupert & Coleman,"30 N. LaSalle St., Suite 2630",Chicago,IL,60602,United States,312-346-4740,312-346-1168,07/10/2013,Y
2014,8981,Janus Capital Management LLC,151 Detroit Street,,Denver,CO,80206,United States,303-316-5676,303-336-7512,07/22/2013,Y
2013,9101,"The Maytag Group, LLC.",3701 N. Kedzie,,Chicago,IL,60618,United States,773-478-2707,,08/02/2013,Y
