"","ALDERMAN","LOBBYIST_NAME","cont_to_aldermen","CLIENT_NAME","total_comp","pathString"
"1","AMEYA PAWAR","PATRICK CAREY",500,"APPLE INC",252000,"AMEYA PAWAR/PATRICK CAREY/APPLE INC"
"2","AMEYA PAWAR","PATRICK CAREY",500,"ASIAN HUMAN SERVICES",14000,"AMEYA PAWAR/PATRICK CAREY/ASIAN HUMAN SERVICES"
"3","AMEYA PAWAR","PATRICK CAREY",500,"BNSF RAILWAY COMPANY",135000,"AMEYA PAWAR/PATRICK CAREY/BNSF RAILWAY COMPANY"
"4","AMEYA PAWAR","PATRICK CAREY",500,"CHINESE AMERICAN SERVICE LEAGUE",10000,"AMEYA PAWAR/PATRICK CAREY/CHINESE AMERICAN SERVICE LEAGUE"
"5","AMEYA PAWAR","PATRICK CAREY",500,"DELTA AIR LINES",294000,"AMEYA PAWAR/PATRICK CAREY/DELTA AIR LINES"
"6","AMEYA PAWAR","PATRICK CAREY",500,"DIAGEO NA",140000,"AMEYA PAWAR/PATRICK CAREY/DIAGEO NA"
"7","AMEYA PAWAR","PATRICK CAREY",500,"GRAFFITI RESOURCE COUNCIL",38000,"AMEYA PAWAR/PATRICK CAREY/GRAFFITI RESOURCE COUNCIL"
"8","AMEYA PAWAR","PATRICK CAREY",500,"HERTZ GLOBAL",315000,"AMEYA PAWAR/PATRICK CAREY/HERTZ GLOBAL"
"9","AMEYA PAWAR","PATRICK CAREY",500,"HORIZON PHARMA USA INC",303000,"AMEYA PAWAR/PATRICK CAREY/HORIZON PHARMA USA INC"
"10","AMEYA PAWAR","PATRICK CAREY",500,"HUDSON GROUP",420000,"AMEYA PAWAR/PATRICK CAREY/HUDSON GROUP"
"11","AMEYA PAWAR","PATRICK CAREY",500,"LIMEBIKE",30000,"AMEYA PAWAR/PATRICK CAREY/LIMEBIKE"
"12","AMEYA PAWAR","PATRICK CAREY",500,"LYFT",669000,"AMEYA PAWAR/PATRICK CAREY/LYFT"
"13","AMEYA PAWAR","PATRICK CAREY",500,"MIDWEST BUS & MOTORCOACH ASSOCIATION",90000,"AMEYA PAWAR/PATRICK CAREY/MIDWEST BUS & MOTORCOACH ASSOCIATION"
"14","AMEYA PAWAR","PATRICK CAREY",500,"NORTH HIGHLAND",168000,"AMEYA PAWAR/PATRICK CAREY/NORTH HIGHLAND"
"15","AMEYA PAWAR","PATRICK CAREY",500,"PNC BANK",210000,"AMEYA PAWAR/PATRICK CAREY/PNC BANK"
"16","AMEYA PAWAR","PATRICK CAREY",500,"SALESFORCE",15000,"AMEYA PAWAR/PATRICK CAREY/SALESFORCE"
"17","AMEYA PAWAR","PATRICK CAREY",500,"SENTINEL TECHNOLOGIES",124800,"AMEYA PAWAR/PATRICK CAREY/SENTINEL TECHNOLOGIES"
"18","AMEYA PAWAR","PATRICK CAREY",500,"SONDER",294000,"AMEYA PAWAR/PATRICK CAREY/SONDER"
"19","AMEYA PAWAR","PATRICK CAREY",500,"SSP AMERICA INC",420000,"AMEYA PAWAR/PATRICK CAREY/SSP AMERICA INC"
