 Person Name,Ward,ALDERMAN
"Arena, John",45,JOHN ARENA
"Austin, Carrie M.",34,CARRIE AUSTIN
"Beale, Anthony",9,ANTHONY BEALE
"Brookins, Jr., Howard",21,"HOWARD BROOKINS, JR."
"Burke, Edward M.",14,EDWARD BURKE
"Burnett, Jr., Walter",27,"WALTER BURNETT, JR."
"Cappleman, James",46,JAMES CAPPLEMAN
"Cardenas, George A.",12,GEORGE CARDENAS
"Cochran, Willie",20,WILLIE COCHRAN
"Curtis, Derrick G.",18,DERRICK CURTIS
"Dowell, Pat",3,PAT DOWELL
"Ervin, Jason C.",28,JASON ERVIN
"Foulkes, Toni",16,TONI FOULKES
"Hairston, Leslie A.",5,LESLIE HAIRSTON
"Harris, Michelle A.",8,MICHELLE HARRIS
"Hopkins, Brian",2,BRIAN HOPKINS
"King, Sophia D.",4,SOPHIA KING
"Laurino, Margaret",39,MARGARET LAURINO
"Lopez, Raymond A.",15,RAYMOND LOPEZ
"Maldonado, Roberto",26,ROBERTO MALDONADO
"Mell, Deborah",33,DEBORAH MELL
"Mitchell, Gregory I.",7,GREGORY MITCHELL
"Mitts, Emma",37,EMMA MITTS
"Moore, David H.",17,DAVID MOORE
"Moore, Joseph",49,JOE MOORE
"Moreno, Proco Joe",1,JOE MORENO
"Munoz, Ricardo",22,RICARDO MUNOZ
"Napolitano, Anthony V.",41,ANTHONY NAPOLITANO
"O'Connor, Patrick",40,PATRICK O'CONNOR
"O'Shea, Matthew J.",19,MATTHEW O'SHEA
"Osterman, Harry",48,HARRY OSTERMAN
"Pawar, Ameya",47,AMEYA PAWAR
"Quinn, Marty",13,MARTY QUINN
"Ramirez-Rosa, Carlos",35,CARLOS RAMIREZ-ROSA
"Reboyras, Ariel",30,ARIEL REBOYRAS
"Reilly, Brendan",42,BRENDAN REILLY
"Sadlowski Garza, Susan",10,SUSAN SADLOWSKI GARZA
"Santiago, Milagros",31,MILAGROS SANTIAGO
"Sawyer, Roderick T.",6,RODERICK SAWYER
"Scott, Jr. Michael",24,"MICHAEL SCOTT, JR."
"Silverstein, Debra L.",50,DEBRA SILVERSTEIN
"Smith, Michele",43,MICHELE SMITH
"Solis, Daniel",25,DANIEL SOLIS
"Sposato, Nicholas",38,NICHOLAS SPOSATO
"Tabares, Silvana",23,SILVANA TABARES
"Taliaferro, Chris",29,CHRIS TALIAFERRO
"Thompson, Patrick D.",11,PATRICK THOMPSON
"Tunney, Thomas",44,THOMAS TUNNEY
"Villegas, Gilbert",36,GILBERT VILLEGAS
"Waguespack, Scott",32,SCOTT WAGUESPACK
